author_in_publication;text;name;city;type;issue;year_emigration;description;peculiarity;name_part;pages;name_in_russia;year_russia
Козырев М.;На волоске;Руль;Берлин;газета;№1974;29.05.1927;проза;полный текст;;8;Сборник рассказов;
Аросев А.;Любовь;Руль;Берлин;газета;№1975;31.05.1927;проза;полный текст;;2—3;Красная новь;
Огнев Н.;Мат в два хода;Руль;Берлин;газета;№1977;02.06.1927;проза;полный текст;;2—3;Вечерняя Москва;
Инбер В.;Дворы и дети;Руль;Берлин;газета;№1980;06.06.1927;проза;полный текст;;6;;
Булгаков М.А.;Белая гвардия;Руль;Берлин;газета;№1980;05.06.1927;проза;отрывок;Дни Турбиных;2—4, 7;;
Есенин С.А.;Литературные частушки;Руль;Берлин;газета;№1980;06.06.1927;стихи;полный текст;;4;;
Булгаков М.А.;Белая гвардия;Руль;Берлин;газета;№1981;08.06.1927;проза;отрывок;Дни Турбиных;5—6;;
Булгаков М.А.;Белая гвардия;Руль;Берлин;газета;№1982;09.06.1927;проза;отрывок;Дни Турбиных;2—3;;
Инбер В.;Время абрикосов;Руль;Берлин;газета;№1984;11.06.1927;проза;полный текст;;2—3;;
Пильняк Б.А.;Орудие производства;Руль;Берлин;газета;№1986;14.06.1927;проза;полный текст;;2—3;Красная новь;
Никулин Л.;Новая мораль;Руль;Берлин;газета;№1988;16.06.1927;проза;полный текст;;4;Сборник рассказов;
Пришвин М.;Нерль;Руль;Берлин;газета;№1989;17.06.1927;проза;полный текст;;2—3;Новый мир;
Славин Л.;Шторм;Руль;Берлин;газета;№1991;19.06.1927;проза;полный текст;;5—6;Красная новь;
Романов П.;Без черемухи;Руль;Берлин;газета;№1991;19.06.1927;проза;отрывок;;2—3;;
Романов П.;Без черемухи;Руль;Берлин;газета;№1992;21.06.1927;проза;отрывок;;2—3;;
Никитин Н.;Планида;Руль;Берлин;газета;№1993;22.06.1927;проза;отрывок;;5—6;;
Никитин Н.;Планида;Руль;Берлин;газета;№1994;23.06.1927;проза;отрывок;;2—3;;
Лидин В.;Отступник;Руль;Берлин;газета;№1995;24.06.1927;проза;отрывок;;2—3;Красная новь;
Лидин В.;Отступник;Руль;Берлин;газета;№1996;25.06.1927;проза;отрывок;;2—3;Красная новь;
Шкапская М.;Свадьба в Ташкенте;Руль;Берлин;газета;№1997;26.06.1927;проза;полный текст;;7;Красная газета;
Липецкий А.;Волчий колокол;Руль;Берлин;газета;№2000;30.06.1927;проза;полный текст;;2—3;Красная новь;
Соколов-Микитов И.;На особняк;Руль;Берлин;газета;№2003;03.07.1927;проза;полный текст;;4;Красная газета;
Иванов Вс.;Сюрприз;Руль;Берлин;газета;№2003;03.07.1927;проза;полный текст;;5—6;Красная новь;
Романов П.;Убогие;Руль;Берлин;газета;№2004;05.07.1927;проза;полный текст;;2—3;Сборник рассказов;
Ляшко Н.;Клад;Руль;Берлин;газета;№2007;08.07.1927;проза;отрывок;;2—3;Красная новь;
Ляшко Н.;Клад;Руль;Берлин;газета;№2008;09.07.1927;проза;отрывок;;2—3;Красная новь;
Пришвин М.;Флейта;Руль;Берлин;газета;№2009;10.07.1927;проза;полный текст;;5;;
Клычкова С.;Полдневный сом;Руль;Берлин;газета;№2009;10.07.1927;проза;полный текст;;6;Красная новь;
Козырев М.;Нота;Руль;Берлин;газета;№2010;12.07.1927;проза;полный текст;;4;Сборник рассказов;
Инбер В.;Свет осенью;Руль;Берлин;газета;№2012;14.07.1927;проза;полный текст;;2—3;Сборник рассказов;
Пильняк Б.А.;Корни японского солнца;Руль;Берлин;газета;№2013;15.07.1927;проза;отрывок;;2—3;Сборник рассказов;
Пильняк Б.А.;Корни японского солнца;Руль;Берлин;газета;№2014;16.07.1927;проза;отрывок;;2—3;Сборник рассказов;
Пильняк Б.А.;Корни японского солнца;Руль;Берлин;газета;№2015;17.07.1927;проза;отрывок;;2—4;Сборник рассказов;
Курелла А.;Встреча;Руль;Берлин;газета;№2015;17.07.1927;проза;полный текст;;5—6;Прожектор;
Козаков М.;Жизнелюб Вертигалов;Руль;Берлин;газета;№2016;19.07.1927;проза;полный текст;;2—3;Л.П.;
Пильняк Б.А.;Корни японского солнца;Руль;Берлин;газета;№2017;20.07.1927;проза;отрывок;;6;Сборник рассказов;
Пильняк Б.А.;Корни японского солнца;Руль;Берлин;газета;№2018;21.07.1927;проза;отрывок;;2—3;Сборник рассказов;
Пильняк Б.А.;Корни японского солнца;Руль;Берлин;газета;№2019;22.07.1927;проза;отрывок;;2—3;Сборник рассказов;
Козырев М.;Фома неверующий;Руль;Берлин;газета;№2019;22.07.1927;проза;полный текст;;4;Сборник рассказов;
Алексеев Г.;Сады;Руль;Берлин;газета;№2020;23.07.1927;проза;полный текст;;2—3;Правда;
Соколов-Микитов И.;Яшка;Руль;Берлин;газета;№2021;24.07.1927;проза;полный текст;;5;Красная новь;
Подъячев С.П.;Молодые;Руль;Берлин;газета;№2021;24.07.1927;проза;полный текст;;6;Красная новь;
Форш О.Д.;Современники;Руль;Берлин;газета;№2024;28.07.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2025;29.07.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2026;30.07.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2027;31.07.1927;проза;отрывок;;7;Госиздат;
Замятин Е.И.;Слово предоставляется товарищу Чурыгину;Руль;Берлин;газета;№2027;31.07.1927;проза;полный текст;;2—4;Альм;
Инбер В.;Тройка разных;Руль;Берлин;газета;№2027;31.07.1927;проза;полный текст;;6;Правда;
Форш О.Д.;Современники;Руль;Берлин;газета;№2028;02.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2029;03.08.1927;проза;отрывок;;5;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2030;04.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2031;05.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2032;06.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2033;07.08.1927;проза;отрывок;;4;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2034;09.08.1927;проза;отрывок;;4;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2035;10.08.1927;проза;отрывок;;5—6;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2036;11.08.1927;проза;отрывок;;4;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2037;12.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2038;13.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2039;14.08.1927;проза;отрывок;;7;Госиздат;
Иванов Вс.;Пейзаж;Руль;Берлин;газета;№2039;14.08.1927;проза;полный текст;;5—6;Прожектор;
Форш О.Д.;Современники;Руль;Берлин;газета;№2040;16.08.1927;проза;отрывок;;2—3;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2041;17.08.1927;проза;отрывок;;4;Госиздат;
Форш О.Д.;Современники;Руль;Берлин;газета;№2042;18.08.1927;проза;отрывок;;4;Госиздат;
Смирнов А.;Город;Руль;Берлин;газета;№2042;18.08.1927;проза;полный текст;;2—3;У;
Пришвин М.;Служба Пана;Руль;Берлин;газета;№2043;19.08.1927;проза;полный текст;;2—3;Красная новь;
Романов П.;Большая семья;Руль;Берлин;газета;№2045;21.08.1927;проза;отрывок;;2—4;Красная новь;
Черномор Я.;Незабудка;Руль;Берлин;газета;№2045;21.08.1927;проза;полный текст;;6;У;
Романов П.;Большая семья;Руль;Берлин;газета;№2046;22.08.1927;проза;отрывок;;2—3;Красная новь;23.05.
Свэн И.;Мелюзга;Руль;Берлин;газета;№2047;24.08.1927;проза;полный текст;;6;Правда;
Тарловский М.;Новый быт;Руль;Берлин;газета;№2048;25.08.1927;проза;полный текст;;2—3;Огонек;
Шагинян М.С.;Мегри;Руль;Берлин;газета;№2049;26.08.1927;проза;полный текст;;2—3;Известия;
Акульшин Р.;Новый быт;Руль;Берлин;газета;№2051;28.08.1927;проза;полный текст;;5;Вечерняя Москва;
Архангельский А.;Маленькое одолжение;Руль;Берлин;газета;№2051;28.08.1927;проза;полный текст;;6;К.П.;
Губер Б.;Заговенье;Руль;Берлин;газета;№2053;31.08.1927;проза;полный текст;;6;Новый мир;
Мямлин Н.;Досада подвела;Руль;Берлин;газета;№2054;01.09.1927;проза;полный текст;;2—3;Красная новь;
Городецкий С.;Спорный вопрос;Руль;Берлин;газета;№2056;03.09.1927;проза;полный текст;;2—3;Сборник рассказов;
Бедный Д.;Смешной случай;Руль;Берлин;газета;№2057;04.09.1927;стихи;полный текст;;7;Известия;
Садовской Б.;Аракчеевская шутка;Руль;Берлин;газета;№2063;11.09.1927;проза;полный текст;;4;Красная новь;
Северяк Н.;Бред шамана;Руль;Берлин;газета;№2063;11.09.1927;проза;полный текст;;5—6;Красная новь;
Сергеев-Ценский С.Н.;Старый полоз;Руль;Берлин;газета;№2064;13.09.1927;проза;отрывок;;2—3;Красная новь;
Сергеев-Ценский С.Н.;Старый полоз;Руль;Берлин;газета;№2065;14.09.1927;проза;отрывок;;5—6;Красная новь;
Сергеев-Ценский С.Н.;Старый полоз;Руль;Берлин;газета;№2066;15.09.1927;проза;отрывок;;4;Красная новь;
Городецкий С.;Сон замзавши;Руль;Берлин;газета;№2067;16.09.1927;проза;полный текст;;2—3;Сборник рассказов;
Пришвин М.;Любовь Ярика;Руль;Берлин;газета;№2069;18.09.1927;проза;полный текст;;2—3;Сборник рассказов;
Лебедев В.;О весне;Руль;Берлин;газета;№2069;18.09.1927;проза;полный текст;;6;Сборник рассказов;
Петников Ч.;Из песен американских негров;Руль;Берлин;газета;№2069;18.09.1927;проза;полный текст;;6;Красная газета;
Лебедев В.;Расслоение;Руль;Берлин;газета;№2071;21.09.1927;проза;полный текст;;6;Сборник рассказов;
Пришвин М.;Волки-овцы;Руль;Берлин;газета;№2072;22.09.1927;проза;полный текст;;2—3;Сборник рассказов;
Пришвин М.;Охота за счастьем;Руль;Берлин;газета;№2075;25.09.1927;проза;отрывок;;2—3;Сборник рассказов;
Пришвин М.;Охота за счастьем;Руль;Берлин;газета;№2076;27.09.1927;проза;отрывок;;2—3;Сборник рассказов;
Федин К.А.;Землетрясение в Ялте;Руль;Берлин;газета;№2077;28.09.1927;проза;полный текст;;5—6;Л.П.;
Пильняк Б.А.;Жулики;Руль;Берлин;газета;№2078;29.09.1927;проза;полный текст;;2—3;Сборник рассказов;
Савич О.;Конокрады;Руль;Берлин;газета;№2080;01.10.1927;проза;полный текст;;2—3;Сборник рассказов;
Козырев М.;Поручик Журавлев;Руль;Берлин;газета;№2082;04.10.1927;проза;отрывок;;2—3;Сборник рассказов;
Козырев М.;Поручик Журавлев;Руль;Берлин;газета;№2083;05.10.1927;проза;отрывок;;6;Сборник рассказов;
Козырев М.;Поручик Журавлев;Руль;Берлин;газета;№2084;06.10.1927;проза;отрывок;;4;Сборник рассказов;
Пришвин М.;Орел;Руль;Берлин;газета;№2085;07.10.1927;проза;полный текст;;2;Сборник рассказов;
Соколов-Микитов И.;Ножи;Руль;Берлин;газета;№2089;12.10.1927;проза;отрывок;;5—6;Красная новь;
Соколов-Микитов И.;Ножи;Руль;Берлин;газета;№2090;13.10.1927;проза;отрывок;;4;Красная новь;
Брестов А.;Шахматная старина;Руль;Берлин;газета;№2090;13.10.1927;проза;полный текст;;2—3;Красная новь;
Сухотин П.;Глухарь;Руль;Берлин;газета;№2092;15.10.1927;проза;полный текст;;2—3;Красная новь;
Пильняк Б.А.;Год их жизни;Руль;Берлин;газета;№2096;20.10.1927;проза;отрывок;;2—3;;
Пильняк Б.А.;Год их жизни;Руль;Берлин;газета;№2097;21.10.1927;проза;отрывок;;2—3;;
Инбер В.;Суп из курицы;Руль;Берлин;газета;№2098;22.10.1927;проза;полный текст;;2—3;Огонек;
Романов П.;Право на жизнь;Руль;Берлин;газета;№2099;23.10.1927;проза;отрывок;;5—6;Сборник рассказов;
Романов П.;Право на жизнь;Руль;Берлин;газета;№2100;25.10.1927;проза;отрывок;;2—3;Сборник рассказов;
Романов П.;Право на жизнь;Руль;Берлин;газета;№2101;26.10.1927;проза;отрывок;;5—6;Сборник рассказов;
Романов П.;Право на жизнь;Руль;Берлин;газета;№2102;27.10.1927;проза;отрывок;;2—3;Сборник рассказов;
Романов П.;Право на жизнь;Руль;Берлин;газета;№2103;28.10.1927;проза;отрывок;;2—3;Сборник рассказов;
Романов П.;Право на жизнь;Руль;Берлин;газета;№2104;29.10.1927;проза;отрывок;;2—3;Сборник рассказов;
Ильина В.;Соломенный рай;Руль;Берлин;газета;№2105;30.10.1927;проза;полный текст;;2—3;Красная новь;
Архангельский А.;Мировой масштаб;Руль;Берлин;газета;№2105;30.10.1927;проза;полный текст;;6;;
Пасынков Л.;Отец;Руль;Берлин;газета;№2108;03.11.1927;проза;отрывок;;2—3;Красная новь;
Пасынков Л.;Отец;Руль;Берлин;газета;№2109;04.11.1927;проза;отрывок;;2—3;Красная новь;
Форш О.Д.;Лебедь Неоптолем;Руль;Берлин;газета;№2111;06.11.1927;проза;отрывок;;5—6;Красная новь;
Огнев Н.;Костя Рябцев в вузе;Руль;Берлин;газета;№2112;08.11.1927;проза;отрывок;;2—3;Огонек;
Огнев Н.;Костя Рябцев в вузе;Руль;Берлин;газета;№2113;09.11.1927;проза;отрывок;;5—6;Огонек;
Перегудов А.;Счастье;Руль;Берлин;газета;№2114;10.11.1927;проза;полный текст;;2—3;Красная новь;
Лидин В.;Стамбул;Руль;Берлин;газета;№2115;11.11.1927;проза;отрывок;;2—3;Вечерняя Москва;
Лидин В.;Стамбул;Руль;Берлин;газета;№2116;12.11.1927;проза;отрывок;;2—3;Известия;
Шишков В.;Грех;Руль;Берлин;газета;№2118;15.11.1927;проза;полный текст;;2;Сборник рассказов;
Лебедев В.;По-новому;Руль;Берлин;газета;№2119;16.11.1927;проза;полный текст;;6;Сборник рассказов;
Лидин В.;Марсель;Руль;Берлин;газета;№2121;19.11.1927;проза;полный текст;;2—3;Правда;
Булгаков М.А.;Белая гвардия;Руль;Берлин;газета;№2122;20.11.1927;проза;отрывок;Из 2 части романа;8—9;;
Булгаков М.А.;Белая гвардия;Руль;Берлин;газета;№2123;22.11.1927;проза;отрывок;Из 2 части романа;2;;
Лебедев В.;Героиня труда;Руль;Берлин;газета;№2124;23.11.1927;проза;полный текст;;6;Сборник рассказов;
Правдухин В.;По излучинам Урала;Руль;Берлин;газета;№2125;24.11.1927;проза;полный текст;;2—3;Красная газета;
Шишков В.;Плотник;Руль;Берлин;газета;№2126;25.11.1927;проза;полный текст;;2—3;Сборник рассказов;
Шишков В.;Эфиоп;Руль;Берлин;газета;№2128;27.11.1927;проза;полный текст;;5;Сборник рассказов;
Григорьев С.;Лестница любви;Руль;Берлин;газета;№2130;30.11.1927;проза;отрывок;;6;Сборник рассказов;
Григорьев С.;Лестница любви;Руль;Берлин;газета;№2132;02.12.1927;проза;отрывок;;2—3;Сборник рассказов;
Григорьев С.;Лестница любви;Руль;Берлин;газета;№2133;03.12.1927;проза;отрывок;;2—3;Сборник рассказов;
Лебедев В.;Бидон;Руль;Берлин;газета;№2134;04.12.1927;проза;полный текст;;8;;
Лидин В.;Трудный день;Руль;Берлин;газета;№2135;06.12.1927;проза;полный текст;;2—3;Огонек;
Пильняк Б.А.;Целая жизнь;Руль;Берлин;газета;№2137;08.12.1927;проза;отрывок;;2—3;Сборник рассказов;
Пильняк Б.А.;Целая жизнь;Руль;Берлин;газета;№2138;09.12.1927;проза;отрывок;;2—3;Сборник рассказов;
Сергеев-Ценский С.Н.;Печаль полей;Руль;Берлин;газета;№2139;10.12.1927;проза;отрывок;;2—3;Сборник рассказов;
Каменский В.;Море меняет цвет;Руль;Берлин;газета;№2141;13.12.1927;проза;полный текст;;2—3;Огонек;
Вересаев В.;Семейный роман;Руль;Берлин;газета;№2149;22.12.1927;проза;полный текст;;2—3;Красная новь;
Никитин Н.;Осень;Руль;Берлин;газета;№2150;23.12.1927;проза;полный текст;;2—3;Красная новь;
Форш О.Д.;Башня;Руль;Берлин;газета;№2151;24.12.1927;проза;полный текст;;2—3;Сборник рассказов;
Формозов А.Н.;Дзэрэны;Руль;Берлин;газета;№2152;25.12.1927;проза;полный текст;;7;Сборник рассказов;
Вишня О.;Украинизация;Руль;Берлин;газета;№2155;30.12.1927;драма;отрывок;;2;Сборник рассказов;
Лазарев В.;Ручной голубь;Руль;Берлин;газета;№2156;31.12.1927;проза;полный текст;;2;Красная новь;
Вишня О.;Украинизация;Руль;Берлин;газета;№2156;31.12.1927;драма;отрывок;;3;Сборник рассказов;
Романов П.;Арабская сказка;Руль;Берлин;газета;№2157;01.01.1928;проза;отрывок;;2—3;;
Молчанов И.;Между двумя семафорами;Руль;Берлин;газета;№2157;01.01.1928;проза;отрывок;Спектакль;9;Красная газета;
Романов П.;Арабская сказка;Руль;Берлин;газета;№2158;03.01.1928;проза;отрывок;;2—3;;
Романов П.;Арабская сказка;Руль;Берлин;газета;№2160;05.01.1928;проза;отрывок;;2—3;;
Яковлев А.;Китайская ваза;Руль;Берлин;газета;№2163;08.01.1928;проза;полный текст;;2—4;Красная новь;
Подъячев С.П.;Старый «партейный» ;Руль;Берлин;газета;№2163;08.01.1928;проза;полный текст;;8;Красная новь;
Вересаев В.;Детские рассказы;Руль;Берлин;газета;№2164;10.01.1928;проза;отрывок;;2—3;Сборник рассказов;
Вересаев В.;Детские рассказы;Руль;Берлин;газета;№2166;12.01.1928;проза;отрывок;;2—3;Красная новь;
Алексеев Г.;В московской квартире;Руль;Берлин;газета;№2168;14.01.1928;проза;отрывок;;2—3;;
Алексеев Г.;В московской квартире;Руль;Берлин;газета;№2172;19.01.1928;проза;отрывок;;2—3;;
Алексеев Г.;В московской квартире;Руль;Берлин;газета;№2173;20.01.1928;проза;отрывок;;2—3;;
Свэн И.;Хороший знакомый;Руль;Берлин;газета;№2175;22.01.1928;проза;полный текст;;7;Правда;
Свэн И.;Советы молодым художникам;Руль;Берлин;газета;№2177;25.01.1928;проза;полный текст;;6;Сборник рассказов;
Толстой А.Н.;Разговор на балконе;Руль;Берлин;газета;№2178;26.01.1928;проза;полный текст;;2—3;;10.12.1927
Яковлев А.;Ради любви;Руль;Берлин;газета;№2179;27.01.1928;проза;отрывок;;2—3;;
Яковлев А.;Ради любви;Руль;Берлин;газета;№2180;28.01.1928;проза;отрывок;;2—3;;
Озаровская О.;Фантазия конопатчика Мухи;Руль;Берлин;газета;№2181;29.01.1928;проза;полный текст;;7;Правда;
Яковлев А.;Ради любви;Руль;Берлин;газета;№2182;31.01.1928;проза;отрывок;;2;;
Лидин В.;Обычай ветра;Руль;Берлин;газета;№2184;02.02.1928;проза;полный текст;;2—3;Красная новь;11.1927
Пильняк Б.А.;Лорд Байрон;Руль;Берлин;газета;№2187;05.02.1928;проза;отрывок;;2—3;;
Павленко П.;Лорд Байрон;Руль;Берлин;газета;№2187;05.02.1928;проза;отрывок;;2—3;;
Уткин И.;По кухне и счастье усвоено;Руль;Берлин;газета;№2187;05.02.1928;стихи;отрывок;Из второй книги стихов;8;Красная новь;
Пильняк Б.А.;Лорд Байрон;Руль;Берлин;газета;№2188;07.02.1928;проза;отрывок;;2;;
 Павленко П.;Лорд Байрон;Руль;Берлин;газета;№2188;07.02.1928;проза;отрывок;;2;;
Завалишин П.;Семейная радость;Руль;Берлин;газета;№2189;08.02.1928;проза;полный текст;;6;;
Завалишин П.;Расписались;Руль;Берлин;газета;№2191;10.02.1928;проза;полный текст;;2—3;;
Инбер В.;Текстильмечта;Руль;Берлин;газета;№2193;12.02.1928;проза;полный текст;;6;Правда;
Тренев К.;В мертвый час;Руль;Берлин;газета;№2194;13.02.1928;проза;полный текст;;2—3;Красная новь;
Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2198;18.02.1928;проза;отрывок;;2—3;Красная новь;
Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2199;19.02.1928;проза;отрывок;;5—6;Красная новь;
Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2200;21.02.1928;проза;отрывок;;2—3;Красная новь;
Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2201;22.02.1928;проза;отрывок;;5—6;Красная новь;
Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2202;23.02.1928;проза;отрывок;;2—3;Красная новь;
Тынянов Ю.;Подпоручик Киже;Руль;Берлин;газета;№2203;24.02.1928;проза;отрывок;;2—3;Красная новь;
Резаль Т.;Шелк;Руль;Берлин;газета;№2205;26.02.1928;проза;полный текст;;8;КР. П.;
Лидин В.;Приморская тишина;Руль;Берлин;газета;№2206;28.02.1928;проза;полный текст;;2—3;Правда;09.1927
Пильняк Б.А.;Мальчик из Тралл;Руль;Берлин;газета;№2210;03.03.1928;проза;полный текст;;2—3;Красная новь;
Романов П.;Дым;Руль;Берлин;газета;№2211;04.03.1928;проза;полный текст;;7—8;Сборник рассказов;
Крутиков Д.;Кудеяров Вир;Руль;Берлин;газета;№2212;06.03.1928;проза;отрывок;Леон;2—3;;
Крутиков Д.;Кудеяров Вир;Руль;Берлин;газета;№2213;07.03.1928;проза;отрывок;Леон;5—6;;
Пришвин М.;Сыр;Руль;Берлин;газета;№2217;10.03.1928;проза;полный текст;;2—3;Сборник рассказов;
Романов П.;Опять на нашу голову;Руль;Берлин;газета;№2217;11.03.1928;проза;полный текст;;7—8;Сборник рассказов;
Сергеев-Ценский С.Н.;Снег;Руль;Берлин;газета;№2219;14.03.1928;проза;полный текст;;6;;
Павленко П.;Мастера Эйюба;Руль;Берлин;газета;№2222;17.03.1928;проза;отрывок;;2—3;Правда;
Лидин В.;Отец;Руль;Берлин;газета;№2223;18.03.1928;проза;полный текст;;2—4;Красная новь;
Павленко П.;Мастера Эйюба;Руль;Берлин;газета;№2223;19.03.1928;проза;отрывок;;6;Правда;
Романов П.;Один час;Руль;Берлин;газета;№2225;21.03.1928;проза;отрывок;;6;;
Романов П.;Один час;Руль;Берлин;газета;№2226;22.03.1928;проза;отрывок;;2—3;;
Пришвин М.;Любовь по воздуху;Руль;Берлин;газета;№2227;23.03.1928;проза;полный текст;;2—3;Красная новь;
Борисов Л.;2 Леонарди 2;Руль;Берлин;газета;№2229;25.03.1928;проза;полный текст;;7—8;Красная газета;
Подъячев С.П.;Для хорошего человека;Руль;Берлин;газета;№2231;28.03.1928;проза;полный текст;;2—3;Правда;
Пильняк Б.А.;Под водой;Руль;Берлин;газета;№2232;29.03.1928;проза;полный текст;;2—3;;
Огнев Н.;Новая молодежь;Руль;Берлин;газета;№2233;30.03.1928;проза;отрывок;;2—3;Новый мир;
Огнев Н.;Новая молодежь;Руль;Берлин;газета;№2234;31.03.1928;проза;отрывок;;2;Новый мир;
Ширяев П.;Четверг Наташиной жизни;Руль;Берлин;газета;№2236;03.04.1928;проза;отрывок;;2—3;Новый мир;
Ширяев П.;Четверг Наташиной жизни;Руль;Берлин;газета;№2238;05.04.1928;проза;отрывок;;2—3;Новый мир;
Пильняк Б.А.;Могильные памяти;Руль;Берлин;газета;№2240;08.04.1928;проза;полный текст;;5—6;Красная новь;02.1928
Дынник В.;Певица из Першлахты;Руль;Берлин;газета;№2241;11.04.1928;проза;полный текст;;5—6;Красная новь;
Подъячев С.П.;Сынок;Руль;Берлин;газета;№2244;14.04.1928;проза;полный текст;;2—3;Правда;
Ильина В.;Морская живопись;Руль;Берлин;газета;№2245;15.04.1928;стихи;полный текст;;8;;
Наседкин В.;Вьюга ;Руль;Берлин;газета;№2245;15.04.1928;стихи;полный текст;;8;;
Лидин В.;Младость;Руль;Берлин;газета;№2248;19.04.1928;проза;отрывок;;2—3;;
Лидин В.;Младость;Руль;Берлин;газета;№2249;20.04.1928;проза;отрывок;;2—4;;
Лидин В.;Младость;Руль;Берлин;газета;№2250;21.04.1928;проза;отрывок;;2—3;;
Огнев Н.;Новая молодежь;Руль;Берлин;газета;№2251;22.04.1928;проза;отрывок;;3—4;Красная новь;
Борисоглебский М.;Кальва;Руль;Берлин;газета;№2251;22.04.1928;проза;отрывок;Ригле;8—9;Красная газета;
Пришвин М.;Слуга времени;Руль;Берлин;газета;№2252;24.04.1928;проза;полный текст;;2—3;Сборник рассказов;
Фурманов Д.;Открытие дома;Руль;Берлин;газета;№2254;26.04.1928;проза;полный текст;;2—3;Сборник рассказов;
Пильняк Б.А.;Кафеджи Абдула-Гамида Второго;Руль;Берлин;газета;№2255;27.04.1928;проза;полный текст;;2—3;;
Яковлев А.;Страхи;Руль;Берлин;газета;№2256;28.04.1928;проза;полный текст;;2—3;Сборник рассказов;
Лесная Л.;Случай с литераторами;Руль;Берлин;газета;№2257;29.04.1928;проза;полный текст;;8;К.П.;
Марич М.;Северное сияние;Руль;Берлин;газета;№2260;04.05.1928;проза;отрывок;Пожар в ночи;2—4;Правда;
Полетик Ю.;Листки;Руль;Берлин;газета;№2268;13.05.1928;проза;полный текст;;7—8;К.П.;
Яковлев А.;Кто виноват?;Руль;Берлин;газета;№2271;17.05.1928;проза;полный текст;;2—3;Сборник рассказов;
Аграновский А.;В Сибирской глуши;Руль;Берлин;газета;№2271;17.05.1928;проза;полный текст;;4;Правда;
Новиков-Прибой Л.;Под страхом ожидания;Руль;Берлин;газета;№2276;24.05.1928;проза;полный текст;;2—3;Красная новь;
Ширяев П.;Оска;Руль;Берлин;газета;№2278;26.05.1928;проза;полный текст;;2—3;Красная новь;
Волков М.;Жилтоварищество №1331;Руль;Берлин;газета;№2279;27.05.1928;проза;отрывок;;7—8;Новый мир;
Волков М.;Жилтоварищество №1331;Руль;Берлин;газета;№2284;03.06.1928;проза;отрывок;;7—8;Новый мир;
Пришвин М.;Молоко от козла;Руль;Берлин;газета;№2287;07.06.1928;проза;полный текст;;2—3;;
Алексеев Г.;Дунькино счастье;Руль;Берлин;газета;№2290;10.06.1928;проза;отрывок;;7—8;Сборник рассказов;
Алексеев Г.;Дунькино счастье;Руль;Берлин;газета;№2291;12.06.1928;проза;отрывок;;2—3;Сборник рассказов;
Буданцев С.;Екатеринослав;Руль;Берлин;газета;№2295;16.06.1928;проза;полный текст;;2—3;Новый мир;
Алексеев Г.;Дунькино счастье;Руль;Берлин;газета;№2296;17.06.1928;проза;отрывок;;7—8;Сборник рассказов;1926
Алексеев Г.;Приключение Карола Земиша;Руль;Берлин;газета;№2297;19.06.1928;проза;полный текст;;2—3;Сборник рассказов;
Пришвин М.;Маралова гать;Руль;Берлин;газета;№2299;21.06.1928;проза;полный текст;;2;;
Волков М.;Жилтоварищество №1331;Руль;Берлин;газета;№2300;22.06.1928;проза;отрывок;;2—3;Новый мир;
Четвериков С.;Борьба за мужчину;Руль;Берлин;газета;№2301;23.06.1928;проза;отрывок;Сытые дни;2—3;К.П.;
Попов Ю.;В китайском театре;Руль;Берлин;газета;№2302;24.06.1928;проза;полный текст;;7—8;К.П.;
Ардов В.;Сцена и жизнь;Руль;Берлин;газета;№2302;24.06.1928;проза;полный текст;;8;Огонек;
Замятин Е.И.;Десятиминутная драма;Руль;Берлин;газета;№2303;26.06.1928;проза;полный текст;;2;Гул Земли;
Ласковая Ф.;О любви;Руль;Берлин;газета;№2308;01.07.1928;проза;полный текст;;7—8;Правда;
Федорович В.;Нивесть что;Руль;Берлин;газета;№2311;05.07.1928;проза;полный текст;;2—3;К.П.;
